직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
생산관리/품질관리,전직원,경기,2021. 01,4.0,"""화목한분위기속 근무환경은 나쁘지 않음""","
업무시 적응함에 있어 수월함. 주위 여건 괜찮음. 복지환경 타업체에 비해 좋음. 분담체계에 있어 명확함.
","
업무 과다시 연차사용불가. 밥이 맛이 없다.. 일주 1회 종교 조회가 강제된다.
","
연차사용시 눈치없이 봤으면 좋겠다. 밥이 좀더 맛있었으연 좋겠다
"
생산/제조,전직원,경기,2021. 01,3.0,"""우선 같이 일하는 사람들은 괜찮았습니다밥도 맛잇고 출퇴근버스도 있고""","
수평적인 업무 환경과 밥 맛있는거 장점이 있네요 연차도
","
비효율적인 업무 시스템이 좀 있고 제조업이다보니 연차 자유가 쉽지않네요
","
글쎄요 .. 건투를 빕니다... 화이팅하세요...뉴프렉스
"
생산관리/품질관리,전직원,경기,2020. 11,1.0,"""체계없고 상여도없고 별로다 밥은맛있다 점심시간40분 저녁시간 30분 ㅋㅋㅋㅋㅋㅋ""","
장점 월급은 점심쯤에 빨리들어온다 매점도 회사밖에잇어서 좋다
","
흡연장 멀다 근무조 체계가없다 비전도없는거같다 상여금이없다
","
체계좀잡아주세요 정말 점심 저녁시간 인간적으로 너무짧은거같다
"
생산/제조,전직원,경기,2020. 10,1.0,"""대외적으로는 좋아 보이지만 미래가 보이지 않는 최악의 기업""","
굳이 따지면 자유로운 연차 사용...?But 연차 수당 없고 휴가도 주말 포함 4일이며 연차에서 차감
","
1. 부서간 소통이 하나도 되지 않고 문제가 발생하면 서로 책임 미루기 급급함2. 조금이라도 적자가 나려고 하면 바로 인원 감축 소문 들림(실제로 몇 달 전 코로나로 회사가 조금 어려워지자 총 인원의 30% 권고사직 진행, 나머지 잔류 인원은 약 2개월 동안 월 2주 무급 휴직 실시함)3. 규모도 있고 나름 업계에서 알아주는 곳이지만 복지가 단 한 개도 없음(명절 떡값, 휴가비, 상여금 등 일절 없음)4. 짧은 점심시간 (총 40분이며 나머지 20분은 오전 10분 휴식, 오후 10분 휴식)5. 건물 노후화로 시설이 안좋음
","
사람을 자른다고 적자가 개선될까요? 복지가 어느 정도는 있어야 직원들의 근속 기간이 늘어나지 않을까요?
"
유통/무역,전직원,경기,2020. 09,1.0,"""면접은 사지가멀쩡하고 이상행동만 안보이면 합격이고 대체적으로 회사전체 분위기는 괜찮음""","
월급은 꼬박꼬박줌 주52시간 근무시간 맞춤 최고경영자가 법을 어기는걸 싫어함
","
적은월급 창렬같은 직원복지 보너스 절대없음(추석보너스,휴가비 등등) 생산직관리자들 성격좋지않음 텃새심함 매월1일 마다 찬송가 불러야됨 모자른사람들이 많음
","
직원복지좀 개선좀 해주시고 너무 고소득 저인력으로 사람좀 그만괴롭혓으면
"
금융/재무,현직원,경기,2020. 09,3.0,"""회사의 비전이나 이런건 만족스럽습니다만 회사 복지가 아쉽습니다.""","
장점은 신입으로 들어오면 금방 성장할수 있는 토대를 갖추고 있습니다. 신입사원 연봉은 괜찮은 편이라고 생각드네요
","
체계가 제대로 잘 안잡혀 있음 , 각 부서마다 보고 체계도 틀리고, 중구난방사람을 소모품 취급하는거 같은 분위기 복지가 1도 없음
","
직원들 복지에 힘을 좀 써줘야 사람들이 들어오려고 할꺼 아닌가  윗선의 의견이 자꾸 오락가락하는 경향이 있어 직원들이 구심점이 약하다고 봅니다.
"
생산관리/품질관리,전직원,경기,2020. 09,3.0,"""팀원간의 사이는 좋으나 경영진들의 압박이 심함으로 인하여 정신적으로 힘듬""","
자유로운 퇴근과 연차 사용에 대한 큰 제한은 주지 않음
","
연봉이 적고 경영진의 요구가 너무 지나칠때가  많아 실무자들이 불만이 많음
","
사람을 아껴야 더 큰 기업으로  발전할수있고  사람을 쉽게 정리하다가는  엄청난 후회가 될듯
"
개발,전직원,경기,2020. 08,1.0,"""1점주기에도 아까운 그런 기업이라고 생각함""","
기업의 장점이라곤 찾아볼 수 가없음. 장점이라고 하면 월급 따박따박 나오는 정도라고 보면 됨
","
전형적인 꼰대문화라 개선할 수 없음. 상사가 정말 상상이상으로 별로였음. 말을 거는건지 시비를 거는건지 헷갈릴정도로 공격적이고 꼰대문화.
","
꼰대문화를 개선하기 위해서는 윗사람들이 바껴야하는데 전혀 바뀌려고 하질 않음. 제발 생각하고 요즘 문화에 맞는 그런 경영을 했으면 좋겠음
"
생산/제조,전직원,경기,2020. 08,1.0,"""오래가기 힘든 회사 직원은 소모품 물량없으면 퇴사 일있으면 다른사람 채용반복""","
회장이 검소함 회장차가 구형ep 회장본인에게 투자도 못하며  직원에게 회사에 투자 못하는기업
","
아침 공제 점심제공 잔업해야 저녁 줌 직원복지 없음  최저시급 보너스 상여 없음Pcb 회사치고  복지 완전없음
","
직원이 다니고 싶은  회사라야 살아 남지않을까요?조만간에  망하지 싶어요
"
생산/제조,전직원,경기,2020. 08,2.0,"""팀바팀이지만 우리팀 팀장은 편가르기 심했음 돌아가며 왕따시키고 일도 안가르쳐줬음""","
안산내에서는 규모가 꽤 크고 탄탄하단 느낌이 있음 통근버스 넉넉함
","
직무상 단순반복작업이 많음 특근 빼는거 눈치주는 경우 많음
","
합리적인 복지정책을 마련해주길 바라며 팀내 분란을 원활히 해결할 수 있는 제도가 있길바람
"
생산/제조,전직원,경기,2020. 08,2.0,"""Fpcb 카메라모듈 및 무선충전기 주 생산하는 기업 입니다. 삼성 LG가 주 고객이며 생산량은 그때그때 달라 작업량이 들숙날숙 합니다. 생산직은 강력하게 비추 하지만 관리직으로 입사 하시기에는 충분히 많은걸 경험하고 배우실겁니다. 관리자 신입 입사분들 추천 드려요""","
장점으로 말할수 있는게 한개도 없지만. 공정이 대부분 반복작업이라 아무생각없이 일할수 있다. 관리자들만 허용되는건대 매월 1일 다같이 예배를 드리는대 거기서 성과가 좋은 사람들은 보너스 같은걸 준다. ( 보너스 받는 사람이 왜 받는지 이유를 모르겠다는게 문제 )
","
밥이너무 맛이 없다. 연차나쉴때 눈치가 보인다. 회식문화가 전혀 없다. 작업환경이 열약하다. 제조관리자들은 대부분 관심이 없다. 상여금 받기가 힘들다 ( 없다고 생각하면 된다 ) 중간중간 쉬는시간이 10분이다 너무 짧다. 일에재미를 느낄수 없다 매월1일날 다같이 4층으로 올라가서 예배를 드린다. 기독교 말고 다른 종교 가지신분들은 비추?
","
돈도 중요하지만 생산직 사람들이 어느정도 숨을쉬게 해줘야 된다고 생각 합니다. 세상에 쉬는시간이 10분은 정말 이해가 안됩니다. 식당은 돈 500원 정도 인상하여 맛좋은 음식을 만들어 주셨으면 좋겠습니다. ( 식당에서 점심,저녁 안먹고 집에서 먹는사람 많음 )
"
연구개발,현직원,경기,2020. 07,1.0,"""어느정도 경력쌓기에는 나쁘지 않은 회사. 하지만 절대 오래 근속하고 싶은 마음은 전혀 없는 회사.""","
남안산IC근처에 위치하고 있고 공단초입이여서 진입하기 쉬움.
","
주먹구구식의 업무가 많음. 윗사람 눈치를 너무 봐야 해서 업무의 효율성이 떨어짐.
","
직원들의 불만이 있으면 이를 해결해주고자하는 노력을 보였으면 함.
"
생산/제조,전직원,경기,2020. 07,3.0,"""2조2교대로 부서별 쉴수있는날이 적음.""","
직원들 분위기 좋음밥 잘나옴!휴게실 크게 존재함안산지역내 대다수 노선 통근버스 있어 출퇴근편의그이상할말없음
","
화장실 낡음근처에 편의시설이 없음아웃소싱 직원들이 대다수임
","
필요없는 월례조회 없어졌길손님 화장실만 좋아 직원시설 개선됐으면 함
"
연구개발,전직원,경기,2020. 07,4.0,"""배울수 있는 기회가 많고, 노력한 만큼 대우해주는 회사""","
사회초년생의 첫 직장으로 괜찮은 회사로 생각되네요. 퇴사한지 오래되었지만 당시에는 OJT를 통해 기초를 다지는 적응기간을 충분히 주었어요 (기초 이론, CAM Program, 업무 Process 등)국내 전시회는 물론이고, 운이 좋으면 해외 전시회 참관도 할 수 있고, 대기업, 전문업체와 기술교류회를 정기적으로 가져서 전문지식도 배울 수 있었어요. 필수적으로 L社 S社 협력사 교육을 수강해야되서 좋았어요, 가끔 리프레시하기 좋음ㅎㅎ연봉은 PCB업계 평균인것 같고, 국책과제 연구수당은 추가로 지급해줘요.
","
인센티브가 거의 없어요 복지가 비교적 부족한 부분이 많아요관리직은 평일 추가근무 수당이 없고, 주말 특근수당만 있던걸로 기억해요.청년내일채움공제, 소득세 감면 같은 정보를 아무도 알려주지 않아요. 자신이 다 알아보고 신청해야되요.
","
처음 다닌 직장이라서 정이가는 회사네요.최근 실적이 좋지 않은것으로 보이는데 임직원 모두가 힘내서 잘 극복하고, 승승장구 하길바랍니다.
"
개발,전직원,경기,2020. 07,3.0,"""고이고 고여서 자리 뺏기지않을려고 밑에 사람들 쪼는곳""","
편하게 일할수 있다. 생각보다 일의 강도가 정말 낮음, 기초적인거 몰라도 몇일 배우면 할수있음, 귀찮아서 일을 미루는것도 장점이라면 장점
","
꼰대문화의 표본, 모든사람이 그런건 아니지만 각 부서마다 트러블메이커가 존재, 똥 폭탄을 돌리고 돌리는곳이라 토스를 잘해서 나에게 터지지않길 기도해야함, 혹시라도 나에게 터지면... 안녕~
","
가족끼리 하는건 좋은데 바로 밑에 직원들 물갈이가 절실히 필요하다는걸 느낍니다.
"
생산관리/품질관리,전직원,경기,2020. 06,2.0,"""고등학교때 취업간곳입니다. 그냥 최저시급받았습니다.""","
장점은 잘모르겠고 잠깐 일한거라 잘 모르겠네요 그래도 통근버스 있는건 좋습니다.
","
일단 잔업을 안하면 돈이 안됩니다 무조건 하라는 분위기구요
","
복지가 너무 없는거같습니다. 눈치도 너무 많이 주고요
"
생산/제조,전직원,경기,2020. 06,3.0,"""일반 반도체 생산직 입니다. 특별한 것 은 없고 그냥 반도체 공장 같은 느낌입니다.""","
급여 꼬박꼬박 잘 나옵니다. 사람들이 좋아서 일 시작할 때 적응하기 편합니다.
","
주말 출근이 많아서 워라벨이 잘 맞지 않았습니다. 연차 쓰기가 생각보다 눈치보입니다.(바쁠때)
","
사원 복지에 더 힘을 써줬으면 좋겠습니다
"
생산관리/품질관리,전직원,경기,2020. 03,3.0,"""FPCB일 배우기에는 좋으나 생산직군으로 입사하면 힘들고 승진이 잘안됨""","
Pcb배우기에 좋은곳 모든공정을 자체 진행할수있어서 빠르고 쉽게 배울수 있으며 회사 규모가 큼 회사가 깔끔함
","
예전에 2조 2교대할때는 교대할때마다 힘들고 피곤함특히 생산직은 더 힘들며 일하는거 대비 월급이 작음
","
직원들 복지가 아쉽습니다. 생산직군도 차별없이 대해주셨으면 합니다.
"
영업/제휴,현직원,경기,2020. 01,3.0,"""몇몇 사람이 분위기를 해치지만 대부분 유관부서 협업이 잘괴는 분위기. 그치만 성과를 인정받기 어려움.""","
특별히 군대식 문화는 없으며 개개인 하고자 하는 의지가 있는 사람을 존중해주는 문화가 있음 (부서마다 다름)
","
성과를 인정받기 어려움. 한 마디로 연봉을 많이 받기 어려움. 격려 해주는 분위기이나 성과 미달성 시 가차없음.
","
회사가 어려울 수롤 사람을 더욱 귀하게 여겨야 하나 구조조정이 빈번해 회사에 대한 충성심 있는 인원이 그닥 없음
"
생산관리/품질관리,현직원,경기,2020. 01,2.0,"""업무시간에 비해 사람답게 일할 수 있는곳입니다.""","
밥이 맛있고, 식대가 아침에만 1천원 나가는것, 통근버스가 8시에 회사에 도착해서 아침도 챙겨먹을수 있다. 업무 분위기가 좋다
","
코로나 사태로 인해 흡연장이 멀어졌다. 밥이 가끔 맛없을때는 매우 맛없다. 통근버스가 아니면 출퇴근하기 힘들다. 상여가 없다. 계약직 1년후 정규직 결정
","
상여가 필요하다. 총 매출액에 비례하는 상여를 줬으면 좋겠다. 계약직 1년을 좀 줄여줬으면 좋겠다.
"
생산/제조,전직원,경기,2019. 12,3.0,"""나름 큰 기업 적응하면 그럭저럭 다닐만하다. 하는 만큼 벌수있는 기업""","
나름 체계적으로 운영된다.통근버스가 운행 되고 아워홈이라는 식품업체에서 밥을먹고적응하면 다닐만하다
","
2조 2교대로 힘들고, 마음대로 쉴수있는게 아니다호봉이 빨리 오르는건 아니다
","
시급이 더 빨리 오르고 복지가 더욱 잘됐으면 좋겠습니다.
"
생산/제조,전직원,경기,2019. 12,3.0,"""처음에는 적응하기 힘들지만 그냥저냥 적응이되면 다닐만하다""","
나름 큰 기업 통근버스가 제공되고 상여금이 있다사내커플이 많다
","
2조2교대로 힘들었다. 베트남 공장으로 이전을 많이해서 언제 짤릴지모른다는 불안감
","
복지가 더 좋아졌으면 좋겠습니다. 승승장구하세요
"
생산/제조,전직원,경기,2019. 12,4.0,"""첫 회사치고 나쁘지않았음 돈 도 많이주고 식당 은 나한텐 맛있었음""","
출 퇴근 셔틀버스 있어서 나쁘지않고 좋았고 휴게실도 있어 좋음
","
탈의실 보안이 진짜 약하니 자물쇠로 꼭잠그고 가세요 안그럼 중국인들이 물건 빼가요
","
탈의실에 보안을 좀 많이 신경을 쓰면 좋을 거 같다는 생각이든다
"
생산/제조,전직원,경기,2019. 10,3.0,"""생산직과 사무직과의 교류가 많아서 서로간에 의사소통이 잘 됨.""","
상사들이 편안하게 해주는 분위기라 연차쓰는데 큰 부담이 없음. 직원들이 누워서 쉴 수 있는 전용 쉼터가 있음.
","
잔업이 시도때도 없이 많을 때가 있음. 한달에 이틀 쉬고 출근하는데 쉬는걸 가끔 보장 안해줌.
","
직원들의 워라벨을 더 강화 시켜줬으면 좋겠습니다.
"
생산/제조,전직원,경기,2019. 08,1.0,"""FPCB를 제조하는 회사에 입사해야한다면 무조건 비추""","
솔직히 말해서 딱 생각나는 장점이 없다.회사에 하루종일 있으니까 아침 점심 저녁 다 준다는 정도?
","
일년 365일 생산라인이 돌아가기 때문에 생산직 관리직 포함 일년에 쉬는날이 거의 없다고 보면 됨, 주말에 쉬더라도 위에 눈치 엄청봐야함. 주/야 로테이션 대비 급여도 최저시급 기준...
","
직원들에게 현실적인 복지가 있었음 좋겠다는...
"
생산/제조,전직원,경기,2019. 06,3.0,"""다른 여타 FPCB 업체와 다르지 않은 느낌입니다.""","
자신의 업무에 지장이 없다면 연차 사용이 자유롭고 약간은 자유로운 분위기.
","
베트남 투자로 인한 경영악화(추후 경기가 좋아지면 나아지기를 바랍니다.)직원교육의 필요성
","
직원들 복지 & 임금 향상에 힘써주세요!
"
생산/제조,전직원,경기,2019. 06,4.0,"""열심히 일하면 일한만큼 충분히 벌 수 있는 기업이다.""","
첫 입사하고 연차가 나와서 한달에 한번 연차를 쓸 수 있고 연차는 많이 바쁘지 않으면 생각보다 쉽게 쓸 수 있다. 같이 일하는 사람들이 텃새가 없어 좋다
","
주말 쉬는게 눈치 보인다 바쁠때는 너무 바뻐 주말 쉬는게 불가능하고 쉬는시간 번갈아가며 나간다
","
사원 복지가 좀 됐으면 좋았을거 같다
"
디자인,전직원,경기,2019. 05,2.0,"""일반적인 pcb 업체이며 조금씩 발전해가는 업체임""","
업무간 편한 분위기 및 편한복장 착용이 장점이며선 후배간 편한 분위기가 좋음
","
사무직임에도 불구하고 주야 교대근무진행잦은 야근이 많은부분이 단점으로 꼽을수있음잦은 퇴사인원이 발생
","
복지가 좋아졌으면 좋겠고상여금이 지긍이되었으면 좋겠음
"
기획/경영,전직원,경기,2019. 05,5.0,"""회사 규모도 크고 탄탄한 회사이다. 만약 입사공고가 떴다면 지원해볼 것!""","
경영지원팀 사람들 모두 너무 좋은 성격이다. 산업단지 내 위치하고 있지만 통근버스가 있어 안산시 거주자라면 문제없이 다니기 쉽다.
","
수기로 작성하는 업무가 많다. 부서간 협업이 조금 부족하다고 보인다. 사무직원을 위한 퇴근 버스가 단 한 대뿐이다.
","
복지제도가 조금 더 늘어났으면 좋겠습니다.
"
생산/제조,현직원,경기,2019. 03,1.0,"""이회사는 정이안가는 회사? 외국인도 너무많다 .......""","
장점없는 것 같다.. ............ㅇ.ㅇ.ㅇ.ㅇ..
","
사람들 분위기도 별루고 밥도 진심 개 맛없고 외국인은 절반 있는 것 같음
","
바쁠때 급하게 사람 뽑지말고 외국인들좀 그만 뽑았으면 좋겟다
"
생산관리/품질관리,전직원,경기,2019. 02,3.0,"""배울거 많은대신 일도 많고 특히 생산직군 일하는분들은 힘들어 보임""","
fpcb를 배울려면 추천드리지만 열심히 하면 승진 기회 있음.
","
생산직은 교대근무 필수이며 힘들며 지금은 3교대라 조금 편할지는 몰라도 돈이 그만큼 줄어듬. 생산직 사원들은 직원처럼 대하지 않음.
","
직원들을 조금만 더 신경서주시길 바랍니다.
"
생산/제조,전직원,경기,2019. 02,5.0,"""FPCB계열 회사중에 근무 환경 및 근무 만족도가 높은편이고 연봉은 업계에서 상위정도 되며, 이직률이 적으며 근무 년수들이 많은 회사이다""","
주5일 근무제를 시행하고 있으며, 개인업무가 남아있지않으한 정시퇴근도 하고있다 연봉 및 근무 환경이 타업체보다 좋은편이다
","
장기근속자들이 많다보니, 이직 및 신입 입장에서는 다가가기가 다소 어려운면이 있으니, 잘적응만 하면 본인또한 오래다닐수 있는회사이다
","
일이 없다고 무급 및 인원정리같은 일들이 반복되지 않도록 해주길 바란다
"
생산/제조,전직원,경기,2018. 12,3.0,"""야간근무도 있는회사로 나쁘지는않음 할만합니다""","
바쁘게돌아가지 않고 여유로운 분위기로 일할수있는것이 장점이다.
","
모든직장이 그렇듯 상사가 이상한사람이면 일할때 스트레스 많이 받으며 일해야된다
","
교대안하는 회사였으면 베스트였을거같다 바라는거 없음
"
엔지니어링,전직원,경기,2018. 11,1.0,"""1차 밴더사, 공장 규모로는 작지 않음. 팀내 분위기 각 부서별로 다르나, 남자들이 많음.""","
1차 밴더사로써 직접적으로 대기업이 어떻게 감사가 들어오는지 알 수 있음. 셔틀버스가 있음. 생산직과 트러블이 잘 생김
","
각 부서마다 협력이 잘 안됬음. 새로 생기고 없어지는 부서가 많음. 사무용품 부족. 생산직, 사무실 직원들이 직접 사다가 씀
","
복지에 힘을 더 써줬으면. 사무실 기기가 너무 부족함. 회사가 갖는 특별한 장점이 없음
"
생산/제조,현직원,경기,2018. 11,2.0,"""현장직의 의견은 무시하고 경영자의 뜻대로 회사방침을 마음대로 함""","
통근이있고 회사 작업복 지급 여성은 한달에한번 보건 가능,  그외엔 따로 특별히 장점으로 내세울것이 없다
","
12월부터 쉬는시간이 사라지며 현장직의 의견보던 회장이 원하는대로 하며 밥이 진짜 맛없다. 시설도 많이 낙후되있고 엘리베이터는 가끔 멈춘다 관리자부터 쉬는시간 제대로 안 지키는데 왜 현장직에게만 뭐라 하는지 모르겠다
","
현장직을 사람처럼 대해야 회사에 믿음이 가는건데 그런걸 모르는것같다 본인들 뜻대로 다할거면 설문지는 왜 돌리는 것인가 샹각이 짧은거 같다
"
생산/제조,전직원,경기,2018. 10,2.0,"""일하던 부서는 과장급 상사의 꼰대짓과 대화의 주제는 항상 뒷담화. 부장님을 앞에서도 무시하며 사원급에서는 군대 문화와 일을 던져주고 퇴근하는 일이 허다함""","
사무직으로 몸은 편함. 출퇴근 버스 운영으로 교통비 절약가능, 대기업 1차 밴더, 대리 또는 과장까지 연수 채움으로 승진가능, 식당 운영으로 아침,점심,저녁 식사 가능,중견기업으로 어느정도 체계가 잡혀있음.
","
현장 대응으로 야간 당직 있음(일할 당시 6주에 일주일씩 야간 근무), 일 12시간 근무(할 일 없어도 현장대응으로 야간 근무자와 교대전까지 대기) 현재는 3교대로 돌아가는걸로 알고 있음. 식당 밥이 맛이 없어 주로 밖에서 사먹음, 선임들이 모두 군대식 문화로 피곤함, 부서별 잘잘못을 가리며 서로 하대하면서 말싸움하는게 사무실 전체에 들림
","
말단 사원으로 경영진에게 바라는 점은 없으나 부서내 분위기가 좋지 않습니다. 해당 내용을 윗선에서도 알고 계실걸로 알고 있으나 일하면서 분위기 맞추는게 제일 힘듭니다. 이러한 내용이 위에서 바꿀 수 있을지는 모르지만 노력해주시는걸로 알고 있고 그게 결과로 보였으면 좋겠습니다.
"
엔지니어링,전직원,경기,2018. 10,2.0,"""회사 분위기도 거지같고 안산역에서 진입하기가 매우 복잡합니다""","
장점이 있을까요?????? 그냥 급여는 제때 나옵니다
","
급여도 낮고 회사 분위기도 좋지 않고 이회사 상사들 보면 (과장,차장)전문적인 기술도 부족하다고 느껴짐
","
사람이 먼저이고 급여를 더 올려야한다고 생각드네요왜 퇴사자들이 많을까 고민하시기 바랍니다
"
생산/제조,전직원,경기,2018. 08,1.0,"""동종 업종대비 연봉이 매우 낮은편이면 직원을 소모성 부품정도로 생각하는 회사 아웃소싱에서 매일매일 사람들이 우르르 들어왔다가 다나가서 매일 뽑는회사""","
아침 점심 저녁을 먹을수 있음 흡연실이 야외에 있어서 상퀘한 공기를 마시며 흡연이 가능하고 자판기가 많아서 음료수 뽑아먹기가 쉬움
","
주차할 곳이 없으며 정규직 포괄임금제로 들어가기 때문에 야근이 끝이없고 퇴근시간이 전혀 지켜지지 않으며  주말 출근도 눈치보며 거의 대부분 100프로 출근함 개인생활 포기해야하며 야근이 아무리 많아도 추가임금 없고 주말출근 해도 하루 일당도 아니고  5만원줌 근무에 강도가 다름에도 땀 뻘뻘 흘리면서 하는 힘든작업이나 편하게 하는 작업이나 생산직은 임금이 같음
","
생산직 뿐만 아니라 연봉제 사원도 야근에 대한 수당을 정당하게 지불하기 바라며 직원은 소모품이 아니라 함께 가야하는 가족인걸 생각했으면 함
"
생산/제조,전직원,경기,2018. 08,1.0,"""승진기회 없음. 미래를 봤을 때 커리어 쌓기에는 부족""","
본인 업무가 끝났다면 눈치보지 않고 퇴근 가능......
","
타사대비 연봉이 너무 낮다. 직원의 소중함을 모르는게 가장 큰 문제
","
직원 한명 한명의 소중함을 알고 그에 맞는 대우를 해줬으면
"
생산/제조,전직원,경기,2018. 07,4.0,"""출퇴근 시간 엄수하며 늦은시간 퇴근이면 교통비등 많은 지원에 만족스럽다.""","
일단 점심식사가 맛있습니다. 1시간 일한 후 10분 휴식시간을 확실히 지키고있으며, 딱딱한 분위기가 아니였습니다.
","
출퇴근 시간 인근에 있는 회사들이 많아서 그런지 몰라도 출퇴근 하는 길이 좀 복잡하다. 하지만 출근버스가 있어서 그나마 수월한편
","
신입들에게 관심을 가져줘서 배우게 하여 같이 일할 수 있는 환경이면 좋을 것 같다.
"
생산관리/품질관리,전직원,경기,2018. 07,3.0,"""내가하는만큼 대우해주고 내자신이 열심히 노력해볼만함""","
연봉이나 학력으로만 판단하여 나를 대하지는 않음열심히 하고싶은 생각이 들게함
","
부서간에 차이가 크고 그게 마치 다른회사를 다니는듯한 분위기 차이
","
좀더 많은 복지를 해줄필요가 있고 열심히 하는사람에 대한 더 좋은 대우가 필요함
"
유통/무역,전직원,경기,2018. 06,2.0,"""부서마다 다르겠지만 같이 일하는 사람들은좋다윗사람들 눈치보기""","
매출이꾸준히증가하고 일이 어렵지가 않다  관리부는  자율적
","
가족경영 회사 밥이 맛이없다 아침밥은 천원인가 돈을받는다
","
가족경영 중심적인걸 버리고 직원들 복지에 신경을 많이  써줬으면 합니다
"
생산관리/품질관리,현직원,경기,2018. 06,1.0,"""저임금에 고노동 최근 3조 2교대로 변경되면서 퇴직자가 폭발하고있음""","
장점을 찾아보기 힘든게 이기업의 장점 하나 꼭 찾으라면 월2회 주어지는 조퇴가 유일한 장점인 회사입니다
","
정규직은 연봉으로 잡히면서 시간외 근무가 상상을 초월한다 정말 극악에 근무시간 내가 2교대 근무자인지 정규직으로 출퇴근을 하는지 구별조차 할수없는 수준의 무급 야근
","
회사는 살이 쪄가는데 직원은 살이 빠지고 있습니다 제발 소모성이라고 생각하고 나가는거 그냥 버리지 말고 제발 경력직이나 회사에 오래 희상한 사람들 줕잡고 보상좀 해주세요
"
생산관리/품질관리,전직원,경기,2018. 06,2.0,"""주야교대가 계속되어 피로도가 높음, 화학공정 냄새로 인해 괴로울때가 있음""","
통근버스 운영, 월급은 안밀림, 조직간 분위기는 나쁘지 않은편
","
위에 사람이 나가지 않으면 진급이 불가능, 동호회가 있는거 같은데 다양하지 않음, 연봉상승폭이 크지 않음. 주6일에서 7일근무가 잦은편
","
직원들에 대한 처우 개선이나 식사등에 대한 개선이 필요합니다.
"
연구개발,전직원,경기,2018. 06,2.0,"""Fpcb 10대 안에드는 기업으로 안정적으로  회사를다늘수 있음. 편안햐 회사 분위기""","
안정적인  회사생활 보장, 가족 경영, 부서간  원횔한 소통이 가능하며, 사람들이 순수함
","
인사평가제도,  경영진  눈에 들어야 고과가 높게형성되어서  기타 직원들의 불만이 많음ㅅ급여  인상이  적음
","
체계적인 회사 운영  및  인사 고가에 대한 형평성 구축모두 인정하며  다닐수 있게  인사 규정 정립및 복지 구성 요청드립ㄴᆞ다
"
생산/제조,전직원,경기,2018. 06,2.0,"""기독교+가족회사의합작 돈은 밀리지않고 잘나와서 다니는회사""","
장점? 없음 정말 진짜 1도 없음 월급은 밀리지않고 잘나옴
","
인력부족,동종업계대비 기술력부족,인력부족,장기근무자없음,재입사자많음(인력부족),회장님이 기독교라 한달에한번 조회랍시고 예배드림,퇴직금정산 DC로 전환, 연차비 없음 다써야함 연차쓰면 왜쓰냐고 눈치줌 , 연령대가 기본 30-40대 20대 없음,밥도맛없음,원가절감엄청함,법적으로정해진것만하는복지, 타사대비 0.5배 적은월급
","
기술력 증진을위해 기술팀 인력채용이 시급, 타사대비 카메라모듈에 뒤늦게 뛰어들어 기술력부족, 직원 복지에 힘쓰길 바람
"
생산/제조,현직원,경기,2018. 05,3.0,"""그냥 무난한 중소 FPCB기업입니다.생산직의 경우 부서가 생명입니다. 그 이유는 장단점에...""","
일이 많습니다. 2조 2교대로, 한달 31일 기준 30일 풀근무를 하며 휴일은 오직 추석 구정 3일씩이 전부이며 존재하지 않습니다. 고로 최저임금으로 계산해도 가볍게 300을 넘김니다.
","
급여는 최저임금뿐, 상여금0% 복지해택 제로. 라는 아름 다운 조건을 가지고 있습니다. 즉 주5일 하루8시간(출퇴근 시간, 식사시간 포함하면 11시간이상 회사일로 소모됨) 근무를 할경우 그냥 동네 편의점 알바하는 게 훨 좋은 말그대로 최저임금만 딱 주는 곳입니다. 단지 일은 무자게 많기에 부서가 잘걸리면 괜찮습니다만, 힘든부서는 조건도 조건이라, 한달에 총인원 40명인 곳이 한달만에 그만둔 사람이 30명이기도 합니다.(신입들이 죄다 왔다가 도망가고 거의 안남는다는 소리.) 단지 부서가 좋으면 있을법하다곤 봅니다. 돈은 똑같이 받으나, 누군 앉아서 버튼맨 노릇하고, 누군 쪄죽는 더위 힘든 운반, 바쁜 업무에 쩔어 살거나 그렇습니다. 업무에 따른 차등이 없기에 부서 배치가 매우 중요하며, 극단적인 단점이 될 수 있습니다.
","
뭐 갈태면 가라는 식으로 굴리는 건 이해하나, 솔직히 꿀부서랑 힘든부서는 급여대우 다르게 하지 않으면 특정 부서 편중현상은 해결안될거라 보네요
"
생산/제조,전직원,경기,2018. 05,3.0,"""PCB업계에서 나름 인정받는 회사이고 매출액도 꾸준히 유지됨""","
아침 점심 저녁 모두 회사에서 지원 해줌, 주야 2교대 근무조로 근무함.
","
하지만 복지사항이 거의 전무하다 시피하고 다른 부서는 모르겠으나 내가 일했던 부서는 텃세가 조금 있었음
","
직원들에 대한 복지에 좀 더 신경써주었으면 좋겠음
"
생산/제조,전직원,경기,2018. 05,3.0,"""바쁠때는 바쁘고 한가할때는 한가하지만 돈벌기는 괜찮은 회사""","
꼭 필요할 경우 연차를 편하게 사용할 수 있고 사원들 간의 분위기가 매우 좋았다.
","
바쁠때는 너무 바쁜 나머지 주말이라는게 존재를 하지 않는다는점이 단점이다.
","
바쁠때는 너무 바쁘고 한가할 때는 엄청 한가한게 일을 받을때 잘 분배해서 받았으면 좋을것 같다.
"
